"Grabkomplex";"Grabkomplexstrukturnummer";"Grabkomplexstrukturart";"Durchmesser";"Höhe";"Grabenbreite"
10;2;4;12,00;;
10;966;1;;;
17;1299;4;12,00;;
17;1300;4;8,00;;
18;1301;4;10,00;;
19;1302;4;9,00;;
20;1303;4;;;
21;1903;1;;;
21;1904;4;11,00;;
21;1905;4;8,00;;
22;1304;4;12,00;;
23;1305;4;16,50;;
24;1306;4;16,00;;
25;1906;4;10,00;;
25;1907;1;;;
26;1908;4;13,00;;
26;1909;4;9,00;;
26;1910;1;;;
27;973;4;21,00;;
27;974;2;21,00;;
28;1307;4;14,50;;
29;1308;4;17,00;;
30;1309;4;17,00;;
30;1310;4;12,00;;
31;1311;4;15,00;;
32;1312;4;15,00;;
33;1313;4;13,00;;
34;1314;4;7,00;;
35;1315;4;11,50;;
35;1316;4;;;
36;1911;4;11,50;;
36;1912;1;;;
37;1913;1;;;
37;1914;4;10,00;;
37;1915;4;7,00;;
38;1317;4;14,50;;
39;1318;4;19,00;;
39;1319;4;14,00;;
40;1142;5;11,50;;
40;1143;4;8,00;;
41;1320;4;8,00;;
42;1321;4;13,50;;
44;1322;4;7,50;;
46;1323;4;12,00;;
46;1324;4;17,00;;
47;1325;4;18,00;;
48;1326;4;11,00;;
49;1327;4;12,50;;
49;1328;4;18,50;;
50;1329;4;10,00;;
51;1330;4;3,00;;
52;1331;4;10,50;;
54;1916;1;;;
54;1917;4;23,50;;
83;1332;4;;;
85;1333;4;1,30;;
87;1334;4;2,75;;
88;1335;4;1,75;;
97;1336;4;4,00;;
99;975;2;7,25;;
100;976;2;7,25;;
116;1337;4;16,00;;
1020;699;4;10,50;;
1089;759;1;20,00;1,20;
1089;760;2;13,35;;0,70
1096;786;1;30,00;0,40;
1096;787;4;13,30;;
1097;21;5;18,50;0,45;
1097;22;1;32,00;1,20;
1102;569;1;16,00;3,20;
1106;831;1;12,90;1,45;
1106;832;4;12,90;;
1108;836;1;10,00;1,20;
1119;708;2;14,10;-0,35;0,60
1119;709;6;12,90;;
1119;710;4;21,00;;
1120;805;1;38,50;3,00;
1125;1702;1;10,00;0,80;
1136;466;1;55,00;4,50;
1136;467;2;52,00;-1,60;4,50
1141;1703;1;50,00;1,50;
1142;778;1;25,00;0,40;
1144;905;1;8,20;1,00;
1151;595;1;19,00;;
1159;782;4;9,00;;
1163;374;1;25,00;2,00;
1165;797;1;22,50;2,00;
1168;775;1;20,00;1,30;
1168;776;4;13,00;;
1173;754;8;8,00;;0,30
1174;196;1;12,00;0,40;
1174;197;8;7,00;-0,20;0,22
1177;570;1;50,00;0,80;
1177;571;2;30,00;-1,00;2,00
1178;825;1;19,00;2,80;
1178;826;4;17,00;;
1181;1704;1;15,00;1,10;
1183;745;1;27,50;1,00;
1189;908;1;5,00;0,50;
1198;1338;4;;;
1198;1339;1;18,45;1,20;
1206;906;1;10,00;0,80;
1211;806;1;12,00;1,00;
1211;807;4;9,50;0,60;
1214;295;1;22,00;0,20;
1215;619;1;10,00;0,40;
1216;605;1;13,00;0,70;
1217;296;1;13,00;0,30;
1218;800;1;14,00;0,40;
1219;297;1;24,00;0,50;
1220;606;1;22,00;1,50;
1220;607;2;13,10;-0,40;0,80
1222;608;1;13,50;0,80;
1224;621;1;15,00;1,10;
1225;622;1;12,00;0,20;
1226;768;1;25,00;0,65;
1227;769;1;24,00;;
1227;770;8;4,00;;0,55
1232;907;1;15,00;1,00;
1244;512;1;60,00;6,00;
1244;513;5;51,00;;
1244;514;3;51,00;;
1245;1705;1;22,00;2,00;
1248;596;1;12,00;0,70;
1248;597;4;10,00;;
1253;823;1;32,00;2,30;
1256;791;1;19,00;0,40;
1257;198;1;;1,00;
1257;199;2;10,00;-0,20;0,25
1258;572;1;40,00;0,35;
1264;1706;1;10,00;;
1265;771;1;27,00;;
1267;624;1;4,00;0,20;
1268;767;1;30,00;0,80;
1269;626;1;12,00;1,28;
1270;609;1;24,00;0,50;
1270;610;4;13,00;;
1271;611;1;11,50;0,30;
1272;628;1;13,00;0,60;
1273;635;1;7,00;0,20;
1274;612;1;16,00;0,50;
1278;850;1;16,00;0,30;
1286;515;1;50,00;3,25;
1287;798;1;;;
1288;598;1;11,00;0,50;
1289;740;7;;;
1291;783;4;6,00;;
1292;792;1;18,00;0,30;
1293;377;1;25,00;1,00;
1294;200;1;;0,65;
1299;643;1;12,00;0,30;
1301;804;1;32,00;3,00;
1303;523;1;50,00;3,00;
1303;524;2;46,00;-0,85;2,80
1304;781;1;15,00;0,60;
1305;741;7;;;
1307;793;1;30,00;0,60;
1308;287;1;25,00;0,60;
1308;288;8;13,40;-0,62;0,40
1309;576;1;22,50;;
1309;577;2;11,00;;0,30
1311;675;1;5,00;0,40;
1314;644;1;15,00;0,60;
1315;801;1;18,00;0,80;
1315;802;2;13,00;-0,30;0,40
1315;803;3;13,00;;
1316;601;1;13,00;0,80;
1317;718;2;;;
1317;719;4;;;
1319;289;1;22,00;1,20;
1319;290;2;12,00;-0,25;0,30
1321;578;1;23,00;;
1322;779;1;15,00;0,50;
1324;602;1;20,00;1,70;
1324;603;4;10,50;;
1324;604;2;11,50;-0,15;0,20
1325;716;1;22,00;1,00;
1325;717;4;11,00;;
1327;291;1;23,00;;
1329;616;1;9,00;0,60;
1330;646;1;10,00;;
1331;780;1;30,00;1,20;
1332;799;1;15,00;0,70;
1335;292;1;29,00;2,50;
1336;579;1;11,00;0,30;
1338;293;1;30,00;1,80;
1339;294;1;22,00;1,00;
1340;929;1;16,00;0,85;
1340;930;2;14,50;-0,50;0,85
1341;952;1;30,00;2,20;
1342;931;1;20,00;1,00;
1343;937;1;19,00;;
1343;938;2;11,75;;0,15
1343;939;3;12,00;;
1343;1955;2;11,25;;0,15
1344;932;1;9,60;;
1345;933;1;18,00;0,95;
1345;934;2;13,50;-0,65;1,00
1346;940;1;8,50;;
1347;935;1;20,00;1,30;
1347;936;2;15,50;-0,60;1,00
1348;941;1;12,00;1,00;
1349;942;1;15,00;1,00;
1350;943;1;13,00;;
1351;837;1;70,00;6,00;
1370;19;1;40,00;2,20;
1371;944;1;;;
1372;902;5;57,00;;
1372;903;1;;1,50;
1372;904;3;57,00;;
1373;447;1;78,00;13,50;
1374;677;1;35,00;0,80;
1374;678;4;13,50;;
1374;679;2;21,00;-0,40;1,00
1376;945;1;16,00;0,90;
1376;946;2;15,50;;
1378;947;1;;;
1378;948;2;12,00;;
1378;949;3;13,00;;
1379;953;1;37,00;1,60;
1380;680;1;101,00;8,00;
1381;954;1;35,00;1,80;
1382;950;1;9,50;;
1383;955;1;16,00;0,60;
1384;956;1;20,00;0,65;
1384;957;6;9,50;;
1385;958;1;13,00;0,95;
1386;959;1;13,00;0,45;
1387;960;2;14,50;-0,40;1,00
1387;961;3;13,70;;
1387;962;1;;0,10;
1388;963;1;13,50;1,00;
1389;964;1;;;
1390;465;1;65,00;4,50;
1392;1340;4;11,50;;
1393;1341;4;12,50;;
1395;1342;4;8,50;;
1396;1343;4;12,00;;
1399;1344;4;5,00;;
1402;1345;4;12,00;;
1422;1346;4;6,00;;
1434;1347;4;9,00;;
1436;1348;4;9,25;;
1437;1349;4;9,50;;
1438;1350;4;14,00;;
1441;1351;4;4,50;;
1442;1352;4;5,75;;
1443;1353;4;7,50;;
1444;1354;4;5,50;;
1451;1355;4;20,00;;
1452;1356;4;23,00;;
1453;1357;4;20,00;;
1457;1358;4;10,00;;
1458;1359;4;21,00;;
1459;1360;4;19,50;;
1464;1361;4;21,00;;
1466;1362;4;8,75;;
1468;1363;4;6,00;;
1471;1364;4;7,00;;
1472;1365;4;7,50;;
1474;1366;4;12,00;;
1475;1367;4;11,00;;
1477;1368;4;6,00;;
1478;1369;4;9,50;;
1479;1370;4;19,00;;
1481;1371;4;5,50;;
1485;1372;4;6,50;;
1492;1373;4;5,75;;
1493;1374;4;12,25;;
1495;846;4;7,00;;
1496;1375;4;10,00;;
1498;1376;4;5,00;;
1499;1377;4;6,75;;
1505;1378;4;4,50;;
1508;1379;4;12,25;;
1512;1380;4;8,25;;
1537;968;1;5,00;;
1538;1381;4;8,00;;
1550;1382;4;6,00;;
1551;1383;4;11,00;;
1552;1384;4;;;
1569;1385;4;12,00;;
1570;1386;4;;;
1637;1392;4;3,75;;
1643;1393;4;14,00;;
1644;1394;4;31,00;;
1645;1395;4;17,00;;
1646;1396;4;11,00;;
1653;977;2;9,00;;0,20
1653;978;4;8,00;;
1666;979;2;2,00;;
1666;980;4;2,00;;
1678;981;2;6,50;;0,20
1678;982;4;6,50;;
1681;1397;4;6,40;;
1685;1398;4;5,00;;
1690;1399;4;10,00;;
1691;1400;4;2,40;;
1693;1401;4;8,00;;
1696;1402;4;8,00;;
1699;1403;4;5,20;;
1716;1404;4;6,00;;
1735;1405;4;6,00;;
1738;1406;4;11,00;;
1752;983;4;13,00;;
1752;984;2;13,00;;0,40
1757;1712;1;16,00;;
1762;1407;4;9,00;;
1777;1408;4;14,00;;
1780;1409;4;10,00;;
1782;1410;4;4,50;;
1784;1411;4;9,00;;
1790;1412;4;12,00;;
1793;1713;1;8,00;;
1796;1413;4;16,00;;
1797;1414;4;16,00;;
1799;1415;4;14,00;;
1802;1416;4;9,00;;
1804;1417;4;12,00;;
1805;1418;4;10,00;;
1813;382;1;14,00;0,70;
1814;1714;1;17,00;1,35;
1816;1715;1;5,00;1,29;
1819;1419;4;15,50;;
1819;1420;4;12,50;;
1821;1922;1;28,00;2,50;
1821;1923;4;28,00;1,00;
1825;1421;4;14,00;;
1826;1716;1;12,00;0,69;
1827;1717;1;12,00;1,00;
1828;1718;1;9,00;0,25;
1829;1422;4;;;
1831;1423;4;10,00;;
1832;862;4;10,00;;
1832;863;4;14,00;;
1832;864;1;15,00;0,90;
1833;859;4;;;
1833;861;1;12,00;0,65;
1834;1719;1;8,50;1,60;
1835;1720;1;7,00;1,00;
1838;1424;4;11,00;;
1839;1425;4;16,00;;
1840;1721;1;15,00;2,00;
1841;1722;1;2,00;;
1842;1426;4;14,00;;
1843;1427;4;15,00;;
1844;1723;1;10,00;0,50;
1845;824;1;40,00;1,50;
1846;819;4;;;
1847;1724;1;26,00;;
1848;1725;1;8,00;0,60;
1849;1428;4;24,00;;
1850;1726;1;8,00;1,45;
1851;1924;1;11,00;1,20;
1851;1925;4;10,00;;
1852;1727;1;18,00;1,89;
1853;1728;1;11,00;1,00;
1859;867;1;11,00;0,70;
1860;1729;1;28,00;1,39;
1866;1730;1;10,00;0,80;
1867;1731;1;9,00;0,60;
1868;1732;1;9,00;0,69;
1869;1733;1;13,00;0,50;
1871;1930;1;;;
1872;1931;1;;;
1873;1932;1;;;
1874;1933;1;;;
1875;1680;1;;;
1876;1934;1;;;
1877;1681;1;12,00;0,60;
1878;1682;1;18,00;1,60;
1879;1683;1;13,00;1,00;
1880;1684;1;;;
1881;971;1;24,00;0,85;
1882;1685;1;18,00;1,10;
1883;1686;1;14,00;;
1884;1687;1;12,00;;
1885;1935;1;;;
1886;972;1;30,00;1,00;
1890;1429;4;6,00;;
1891;1688;1;22,00;1,50;
1893;1690;1;16,00;;
1894;1734;1;16,00;;
1895;1430;4;;;
1896;1735;1;15,00;1,79;
1897;1736;1;21,00;2,00;
1898;1737;1;9,00;0,69;
1899;1738;1;18,00;1,60;
1900;1431;4;8,00;;
1901;1432;4;8,00;;
1902;1739;1;24,00;;
1903;1740;1;20,00;0,40;
1904;1741;1;12,00;0,50;
1905;1742;1;12,00;0,69;
1906;1743;1;15,00;1,29;
1907;1744;1;18,00;1,50;
1908;1745;1;20,00;1,50;
1909;1746;1;18,00;1,50;
1911;1747;1;9,30;0,85;
1912;1748;1;19,00;1,50;
1913;1749;1;26,00;1,20;
1914;1691;1;10,00;0,80;
1915;1692;1;18,00;1,50;
1916;1693;1;17,00;1,50;
1917;1936;1;;;
1923;1694;1;;1,00;
1924;1750;1;20,00;1,50;
1925;1751;1;22,50;1,35;
1926;1752;1;5,00;0,50;
1927;1926;1;;;
1927;1927;4;2,70;;
1928;1433;4;2,30;;
1929;1753;1;4,50;0,60;
1938;1760;1;30,00;1,75;
1939;1761;1;20,00;1,00;
1940;1762;1;13,00;2,00;
1941;1763;1;12,00;;
1943;1764;1;11,00;0,80;
1944;1765;1;12,00;0,80;
